,Class_03,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_03,0.888,0.082,160
Iteration_0.2,Class_03,0.909,0.173,106
Iteration_0.3,Class_03,0.922,0.265,77
Iteration_0.4,Class_03,0.925,0.358,63
iteraction_0.5,Class_03,0.929,0.453,60
Iteration_06,Class_03,0.932,0.548,49
Iteration_07,Class_03,0.931,0.644,51
iteration_08,Class_03,0.934,0.742,43
Iteration _0.9,Class_03,0.932,0.836,38
Iteration_1.0,Class_03,0.933,0.933,36
iteration_2.0,Class_03,0.929,1.904,25
