,Class_01,Modularity ,Mod with Resolution,No communitiesof comunities
Iteration_0.1,Class_01,0.114,-0.015,40
Iteration_0.2,Class_01,0.132,-0.004,31
Iteration_0.3,Class_01,0.135,0.011,27
Iteration_0.4,Class_01,0.138,0.029,26
iteraction_0.5,Class_01,0.148,0.049,23
Iteration_06,Class_01,0.150 ,0.069,21
Iteration_07,Class_01,0.176,0.096,13
iteration_08,Class_01,0.178,0.120 ,10
Iteration _0.9,Class_01,0.193,0.157,8
Iteration_1.0,Class_01,0.180 ,0.180 ,6
iteration_2.0,Class_01,0.320 ,1.009,3
